Stock,SecurityName,Sector,Industry,MarketCapCr,MarketCapType
DYNPRO,DYNEMIC PRODUCTS LIMITED ,Basic Materials,Specialty Chemicals,288.46,Micro Cap
E2E,E2E NETWORKS LIMITED,Technology,Software - Infrastructure,4073.24,Micro Cap
EASEMYTRIP,EASY TRIP PLANNERS LTD   ,Consumer Cyclical,Travel Services,2560.34,Micro Cap
EBGNG,GNG ELECTRONICS LIMITED  ,Technology,Computer Hardware,3187.76,Micro Cap
ECLERX,ECLERX SERVICES LTD      ,Technology,Information Technology Services,21931.55,Small Cap
ECOSMOBLTY,ECOS (INDIA) MOB & HOSP L,Industrials,Rental & Leasing Services,1109.4,Micro Cap
EDELWEISS,EDELWEISS FIN SERV LTD   ,Financial Services,Financial Conglomerates,10008.01,Small Cap
EFCIL,EFC (I) LIMITED          ,Real Estate,Real Estate Services,2795.46,Micro Cap
EICHERMOT,EICHER MOTORS LTD        ,Consumer Cyclical,Auto Manufacturers,201829.38,Large Cap
EIDPARRY,EID PARRY INDIA LTD      ,Basic Materials,Agricultural Inputs,16773.4,Small Cap
EIEL,ENVIRO INFRA ENGINEERS L ,Industrials,Engineering & Construction,3285.22,Micro Cap
EIFFL,EURO (I) FRESH FOODS LTD ,Consumer Defensive,Packaged Foods,634.14,Micro Cap
EIHAHOTELS,EIH ASSOCIATED HOTELS LTD,Consumer Cyclical,Lodging,2081.89,Micro Cap
EIHOTEL,EIH LIMITED              ,Consumer Cyclical,Lodging,21565.68,Small Cap
EIMCOELECO,EIMCO ELECON (INDIA) LTD ,Industrials,Farm & Heavy Construction Machinery,899.23,Micro Cap
EKC,EVEREST KANTO CYLINDERLTD,Industrials,Specialty Industrial Machinery,1214.76,Micro Cap
ELDEHSG,ELDECO HSG & IND LTD.    ,Real Estate,Real Estate Services,912.8,Micro Cap
ELECON,ELECON ENG. CO. LTD      ,Industrials,Specialty Industrial Machinery,8885.12,Small Cap
ELECTCAST,ELECTROSTEEL CASTINGS LTD,Industrials,Building Products & Equipment,4460.82,Micro Cap
ELECTHERM,ELECTROTHERM (I) LTD.    ,Basic Materials,Steel,1122.32,Micro Cap
ELGIEQUIP,ELGI EQUIPMENTS LTD      ,Industrials,Specialty Industrial Machinery,13920.23,Small Cap
ELGIRUBCO,ELGI RUBBER CO. LTD      ,Consumer Cyclical,Auto Parts,211.21,Micro Cap
ELIN,ELIN ELECTRONICS LIMITED ,Industrials,Electrical Equipment & Parts,728.6,Micro Cap
ELLEN,ELLENBARRIE INDUS GASES L,Basic Materials,Chemicals,3872.91,Micro Cap
EMAMILTD,EMAMI LIMITED            ,Consumer Defensive,Household & Personal Products,21910.12,Small Cap
EMAMIPAP,EMAMI PAPER MILLS LIMITED,Basic Materials,Paper & Paper Products,503.78,Micro Cap
EMAMIREAL,EMAMI REALTY LIMITED     ,Real Estate,Real Estate - Development,340.85,Micro Cap
EMCURE,EMCURE PHARMACEUTICALS L ,Healthcare,Drug Manufacturers - Specialty & Generic,29773.05,Small Cap
EMIL,ELECTRONICS MART IND LTD ,Consumer Cyclical,Specialty Retail,3692.05,Micro Cap
EMKAY,EMKAY GLOBAL FIN SERV LTD,Financial Services,Capital Markets,695.92,Micro Cap
EMMBI,EMMBI INDUSTRIES LIMITED ,Consumer Cyclical,Packaging & Containers,182.28,Micro Cap
EMMVEE,EMMVEE PHOTOVOLTAIC PWR L,Technology,Solar,15117.35,Small Cap
EMSLIMITED,EMS LIMITED              ,Industrials,Engineering & Construction,2110.45,Micro Cap
EMUDHRA,EMUDHRA LIMITED          ,Technology,Software - Application,4613.03,Micro Cap
ENDURANCE,ENDURANCE TECHNO. LTD.   ,Consumer Cyclical,Auto Parts,35452.66,Small Cap
ENGINERSIN,ENGINEERS INDIA LTD      ,Industrials,Engineering & Construction,11061.56,Small Cap
ENIL,ENTERTAIN NET. IND. LTD. ,Communication Services,Broadcasting,573.38,Micro Cap
ENRIN,SIEMENS ENERGY INDIA LTD ,Utilities,Utilities - Renewable,84169.08,Mid Cap
ENTERO,ENTERO HEALTHCARE SOLU L ,Healthcare,Medical Distribution,5270.48,Small Cap
EPACK,EPACK DURABLE LIMITED    ,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2599.13,Micro Cap
EPACKPEB,EPACK PREFAB TECHN LTD   ,Industrials,Engineering & Construction,2483.68,Micro Cap
EPIGRAL,EPIGRAL LIMITED          ,Basic Materials,Chemicals,5064.36,Small Cap
EPL,EPL LIMITED              ,Consumer Cyclical,Packaging & Containers,6629.39,Small Cap
EQUITASBNK,EQUITAS SMALL FIN BNK LTD,Financial Services,Banks - Regional,7898.34,Small Cap
ERIS,ERIS LIFESCIENCES LIMITED,Healthcare,Drug Manufacturers - Specialty & Generic,20077.01,Small Cap
ESABINDIA,ESAB INDIA LTD           ,Industrials,Tools & Accessories,8744.01,Small Cap
ESAFSFB,ESAF SMALL FINANCE BANK L,Financial Services,Banks - Regional,1338.43,Micro Cap
ESCORTS,ESCORTS KUBOTA LIMITED   ,Industrials,Farm & Heavy Construction Machinery,41282.89,Small Cap
ESSENTIA,INTEGRA ESSENTIA LIMITED ,Consumer Defensive,Food Distribution,160.15,Micro Cap
ESTER,ESTER INDUSTRIES LTD     ,Basic Materials,Specialty Chemicals,901.6,Micro Cap
ETERNAL,ETERNAL LIMITED          ,Consumer Cyclical,Internet Retail,288786.74,Large Cap
ETHOSLTD,ETHOS LIMITED            ,Consumer Cyclical,Luxury Goods,7165.44,Small Cap
EUREKAFORB,EUREKA FORBES LIMITED    ,Consumer Cyclical,"Furnishings, Fixtures & Appliances",10961.15,Small Cap
EUROBOND,EURO PANEL PRODUCTS LTD  ,Industrials,Building Products & Equipment,444.01,Micro Cap
EUROPRATIK,EURO PRATIK SALES LIMITED,Basic Materials,Building Materials,2745.6,Micro Cap
EVEREADY,EVEREADY INDS. IND.  LTD.,Industrials,Electrical Equipment & Parts,2385.96,Micro Cap
EVERESTIND,EVEREST INDUSTRIES LTD   ,Industrials,Building Products & Equipment,691.31,Micro Cap
EXCEL,EXCEL REALTY N INFRA LTD ,Industrials,Conglomerates,181.98,Micro Cap
EXCELINDUS,EXCEL INDUSTRIES LTD     ,Basic Materials,Specialty Chemicals,1150.78,Micro Cap
EXCELSOFT,EXCELSOFT TECHNOLOGIES L ,Technology,Software - Application,946.45,Micro Cap
EXICOM,EXICOM TELE SYSTEMS LTD  ,Industrials,Electrical Equipment & Parts,1458.25,Micro Cap
EXIDEIND,EXIDE INDUSTRIES LTD     ,Consumer Cyclical,Auto Parts,29354.75,Small Cap
EXPLEOSOL,EXPLEO SOLUTIONS LIMITED ,Technology,Information Technology Services,1455.83,Micro Cap
FABTECH,FABTECH TECHNOLOGIES LTD ,Healthcare,Health Information Services,836.52,Micro Cap
FACT,FACT LTD                 ,Basic Materials,Agricultural Inputs,55185.53,Mid Cap
FAIRCHEMOR,FAIRCHEM ORGANICS LIMITED,Basic Materials,Specialty Chemicals,911.33,Micro Cap
FAZE3Q,FAZE THREE LIMITED       ,Consumer Cyclical,Textile Manufacturing,907.83,Micro Cap
FCL,FINEOTEX CHEMICAL LIMITED,Basic Materials,Specialty Chemicals,2605.44,Micro Cap
FCSSOFT,FCS SOFTWARE SOLN. LTD.  ,Technology,Information Technology Services,297.46,Micro Cap
FDC,FDC LIMITED              ,Healthcare,Drug Manufacturers - Specialty & Generic,6347.15,Small Cap
FEDERALBNK,FEDERAL BANK LTD         ,Financial Services,Banks - Regional,60797.81,Mid Cap
FEDFINA,FEDBANK FINANCIAL SER L  ,Financial Services,Credit Services,6598.34,Small Cap
FIBERWEB,FIBERWEB INDIA LIMITED   ,Consumer Cyclical,Textile Manufacturing,93.57,Micro Cap
FIEMIND,FIEM INDUSTRIES LIMITED  ,Consumer Cyclical,Auto Parts,5926.66,Small Cap
FILATEX,FILATEX INDIA LTD        ,Consumer Cyclical,Textile Manufacturing,2032.46,Micro Cap
FILATFASH,FILATEX FASHIONS LIMITED ,Consumer Cyclical,Apparel Manufacturing,258.36,Micro Cap
FINCABLES,FINOLEX CABLES LTD       ,Industrials,Electrical Equipment & Parts,11881.86,Small Cap
FINEORG,FINE ORGANIC IND. LTD.   ,Basic Materials,Specialty Chemicals,12913.68,Small Cap
FINKURVE,FINKURVE FINANCIAL SERV L,Financial Services,Credit Services,1343.36,Micro Cap
FINOPB,FINO PAYMENTS BANK LTD   ,Financial Services,Banks - Regional,2008.48,Micro Cap
FINPIPE,FINOLEX INDUSTRIES LTD   ,Industrials,Building Products & Equipment,10889.99,Small Cap
FIRSTCRY,BRAINBEES SOLUTIONS LTD  ,Consumer Cyclical,Internet Retail,14091.19,Small Cap
FISCHER,FISCHER MEDICAL VENTURE L,Healthcare,Medical Devices,2533.75,Micro Cap
FIVESTAR,FIVE-STAR BUS FIN LTD    ,Financial Services,Credit Services,15122.83,Small Cap
FLAIR,FLAIR WRITING INDUST LTD ,Industrials,Business Equipment & Supplies,3366.33,Micro Cap
FLEXITUFF,FLEXITUFF VENTURES INT L ,Consumer Cyclical,Textile Manufacturing,38.9,Micro Cap
FLUOROCHEM,GUJARAT FLUOROCHEM LTD   ,Basic Materials,Specialty Chemicals,37324.83,Small Cap
FMGOETZE,FEDERAL-MOGUL GOETZE (IND,Consumer Cyclical,Auto Parts,2486.48,Micro Cap
FMNL,FUTURE MKT NETWORKS LTD  ,Real Estate,Real Estate Services,48.94,Micro Cap
FOCUS,FOCUS LIGHTG & FIXTRS LTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",487.36,Micro Cap
FOODSIN,FOODS & INNS LIMITED     ,Consumer Defensive,Packaged Foods,472.79,Micro Cap
FORCEMOT,FORCE MOTORS LIMITED     ,Consumer Cyclical,Auto Manufacturers,26710.96,Small Cap
FORTIS,FORTIS HEALTHCARE LTD    ,Healthcare,Medical Care Facilities,68697.42,Mid Cap
FOSECOIND,FOSECO INDIA LTD         ,Basic Materials,Chemicals,3496.99,Micro Cap
FSL,FIRSTSOURCE SOLU. LTD.   ,Technology,Information Technology Services,22303.71,Small Cap
FUSION,FUSION FINANCE LIMITED   ,Financial Services,Credit Services,1687.81,Micro Cap
GABRIEL,GABRIEL INDIA LTD        ,Consumer Cyclical,Auto Parts,13397.67,Small Cap
GAEL,GUJARAT AMBUJA EXPORTS LT,Consumer Defensive,Packaged Foods,6430.1,Small Cap
GAIL,GAIL (INDIA) LTD         ,Utilities,Utilities - Regulated Gas,108600.92,Mid Cap
GALAPREC,GALA PRECISION ENG LTD   ,Industrials,Specialty Industrial Machinery,936.83,Micro Cap
GALAXYSURF,GALAXY SURFACTANTS LTD   ,Basic Materials,Specialty Chemicals,6725.41,Small Cap
GALLANTT,GALLANTT ISPAT LIMITED   ,Basic Materials,Steel,13439.35,Small Cap
GANDHAR,GANDHAR OIL REFINE IND L ,Energy,Oil & Gas Refining & Marketing,1507.25,Micro Cap
GANDHITUBE,GANDHI SPL. TUBES LTD    ,Industrials,Metal Fabrication,916.93,Micro Cap
GANECOS,GANESHA ECOSPHERE LIMITED,Consumer Cyclical,Textile Manufacturing,1989.07,Micro Cap
GANESHBE,GANESH BENZOPLAST LIMITED,Basic Materials,Specialty Chemicals,551.65,Micro Cap
GANESHCP,GANESH CONSUMER PRODUCT L,Consumer Defensive,Packaged Foods,825.11,Micro Cap
GANESHHOU,GANESH HOUSING LIMITED   ,Real Estate,Real Estate - Development,6232.77,Small Cap
GANGAFORGE,GANGA FORGING LIMITED    ,Industrials,Metal Fabrication,44.75,Micro Cap
GANGESSECU,GANGES SECURITIES LIMITED,Consumer Defensive,Packaged Foods,126.46,Micro Cap
GARFIBRES,GARWARE TECH FIBRES LTD  ,Consumer Cyclical,Textile Manufacturing,6303.38,Small Cap
GARUDA,GARUDA CONSTRUCT N ENG L ,Industrials,Engineering & Construction,1747.32,Micro Cap
GATECH,GACM TECHNOLOGIES LIMITED,Financial Services,Asset Management,56.24,Micro Cap
GATECHDVR,GACM TECHNOLOGIES LIMITED,Financial Services,Asset Management,8.91,Micro Cap
GATEWAY,GATEWAY DISTRIPARKS LTD  ,Industrials,Integrated Freight & Logistics,2818.49,Micro Cap
GEECEE,GEECEE VENTURES LIMITED  ,Real Estate,Real Estate - Development,655.16,Micro Cap
GEEKAYWIRE,GEEKAY WIRES LIMITED     ,Industrials,Electrical Equipment & Parts,325.79,Micro Cap
GEMAROMA,GEM AROMATICS LIMITED    ,Basic Materials,Chemicals,784.18,Micro Cap
GENCON,GENERIC ENG CONS PROJ LTD,Industrials,Engineering & Construction,256.38,Micro Cap
GENESYS,GENESYS INTL CORPN LTD   ,Technology,Software - Application,1488.48,Micro Cap
GENUSPAPER,GENUS P&B LIMITED        ,Basic Materials,Paper & Paper Products,332.46,Micro Cap
GENUSPOWER,GENUS POWER INFRASTRU LTD,Industrials,Electrical Equipment & Parts,8379.79,Small Cap
GEOJITFSL,GEOJIT FINANCIAL SER L   ,Financial Services,Capital Markets,2045.41,Micro Cap
GESHIP,THE GE SHPG.LTD          ,Industrials,Marine Shipping,16025.61,Small Cap
GFLLIMITED,GFL LIMITED              ,Financial Services,Asset Management,592.64,Micro Cap
GHCL,GHCL LIMITED             ,Basic Materials,Chemicals,5069.71,Small Cap
GHCLTEXTIL,GHCL TEXTILES LIMITED    ,Consumer Cyclical,Textile Manufacturing,706.28,Micro Cap
GICHSGFIN,GIC HOUSING FINANCE LTD  ,Financial Services,Mortgage Finance,910.89,Micro Cap
GICRE,GENERAL INS CORP OF INDIA,Financial Services,Insurance - Reinsurance,63947.88,Mid Cap
GILLANDERS,GILLANDERS ARBUTHNOT LTD ,Consumer Defensive,Farm Products,211.37,Micro Cap
GILLETTE,GILLETTE INDIA LTD       ,Consumer Defensive,Household & Personal Products,26195.26,Small Cap
GINNIFILA,GINNI FILAMENTS LTD      ,Consumer Cyclical,Textile Manufacturing,350.14,Micro Cap
GIPCL,GUJ IND POW CO. LTD      ,Utilities,Utilities - Regulated Electric,2245.2,Micro Cap
GKENERGY,GK ENERGY LIMITED        ,Utilities,Utilities - Renewable,2848.37,Micro Cap
GKSL,GUJARAT KIDNEY N SUP SP L,Healthcare,Medical Care Facilities,808.62,Micro Cap
GKWLIMITED,GKW LIMITED              ,Industrials,Specialty Business Services,1055.53,Micro Cap
GLAND,GLAND PHARMA LIMITED     ,Healthcare,Drug Manufacturers - Specialty & Generic,28891.69,Small Cap
GLAXO,GLAXOSMITHKLINE PHARMA LT,Healthcare,Drug Manufacturers - General,40569.36,Small Cap
GLENMARK,GLENMARK PHARMACEUTICALS ,Healthcare,Drug Manufacturers - Specialty & Generic,56759.05,Mid Cap
GLOBALE,GLOBALE TESSILE LIMITED  ,Consumer Cyclical,Textile Manufacturing,13.23,Micro Cap
GLOBALVECT,GLOBAL VEC HELICORP LTD  ,Industrials,Airports & Air Services,258.02,Micro Cap
GLOBE,GLOBE ENTERPRISE (I) LTD ,Consumer Cyclical,Textile Manufacturing,128.82,Micro Cap
GLOBECIVIL,GLOBE CIVIL PROJECTS LTD ,Industrials,Engineering & Construction,307.61,Micro Cap
GLOBUSSPR,GLOBUS SPIRITS LTD       ,Consumer Defensive,Beverages - Wineries & Distilleries,2801.61,Micro Cap
GLOSTERLTD,GLOSTER LIMITED          ,Consumer Cyclical,Textile Manufacturing,671.37,Micro Cap
GLOTTIS,GLOTTIS LIMITED          ,Industrials,Integrated Freight & Logistics,511.36,Micro Cap
GMBREW,G M BREWERIES LTD        ,Consumer Defensive,Beverages - Wineries & Distilleries,2361.46,Micro Cap
GMDCLTD,GUJARAT MINERAL DEV CORP ,Energy,Thermal Coal,18200.73,Small Cap
GMMPFAUDLR,GMM PFAUDLER LIMITED     ,Industrials,Specialty Industrial Machinery,4565.86,Micro Cap
GMRAIRPORT,GMR AIRPORTS LIMITED     ,Industrials,Airports & Air Services,105272.99,Mid Cap
GMRP&UI,GMR POW AND URBAN INFRA L,Energy,Thermal Coal,7484.33,Small Cap
GNA,GNA AXLES LIMITED        ,Consumer Cyclical,Auto Parts,1538.64,Micro Cap
GNFC,GUJ NAR VAL FER & CHEM L ,Basic Materials,Chemicals,7089.15,Small Cap
GOACARBON,GOA CARBON LIMITED       ,Basic Materials,Specialty Chemicals,359.32,Micro Cap
GOCLCORP,GOCL CORPORATION LIMITED ,Basic Materials,Specialty Chemicals,1397.7,Micro Cap
GOCOLORS,GO FASHION INDIA LTD     ,Consumer Cyclical,Apparel Retail,2167.92,Micro Cap
GODAVARIB,GODAVARI BIOREFINERIES L ,Basic Materials,Chemicals,1432.93,Micro Cap
GODFRYPHLP,GODFREY PHILLIPS INDIA LT,Consumer Defensive,Tobacco,34738.7,Small Cap
GODIGIT,GO DIGIT GENERAL INS LTD ,Financial Services,Insurance - Property & Casualty,30362.7,Small Cap
GODREJAGRO,GODREJ AGROVET LIMITED   ,Consumer Defensive,Packaged Foods,10552.13,Small Cap
GODREJCP,GODREJ CONSUMER PRODUCTS ,Consumer Defensive,Household & Personal Products,125541.88,Mid Cap
GODREJIND,GODREJ INDUSTRIES LTD    ,Industrials,Conglomerates,33795.0,Small Cap
GODREJPROP,GODREJ PROPERTIES LTD    ,Real Estate,Real Estate - Development,56367.76,Mid Cap
GOKEX,GOKALDAS EXPORTS LTD.    ,Consumer Cyclical,Apparel Manufacturing,4386.7,Micro Cap
GOKUL,GOKUL REFOILS & SOLV LTD ,Consumer Defensive,Packaged Foods,376.87,Micro Cap
GOKULAGRO,GOKUL AGRO RESOURCES LTD ,Consumer Defensive,Packaged Foods,4838.83,Micro Cap
GOLDIAM,GOLDIAM INTERNATIONAL LTD,Consumer Cyclical,Luxury Goods,3761.86,Micro Cap
GOLDTECH,AION-TECH SOLUTIONS LTD  ,Technology,Information Technology Services,246.26,Micro Cap
GOODLUCK,GOODLUCK INDIA LIMITED   ,Basic Materials,Steel,3780.55,Micro Cap
GOPAL,GOPAL SNACKS LIMITED     ,Consumer Defensive,Packaged Foods,4025.3,Micro Cap
GPIL,GODAWARI POW & ISP LTD   ,Basic Materials,Steel,17759.63,Small Cap
GPPL,GUJARAT PIPAVAV PORT LTD ,Industrials,Marine Shipping,8933.0,Small Cap
GPTHEALTH,GPT HEALTHCARE LIMITED   ,Healthcare,Medical Care Facilities,1102.16,Micro Cap
GPTINFRA,GPT INFRAPROJECTS LTD    ,Industrials,Engineering & Construction,1359.68,Micro Cap
GRANULES,GRANULES INDIA LIMITED   ,Healthcare,Drug Manufacturers - Specialty & Generic,14544.35,Small Cap
GRAPHITE,GRAPHITE INDIA LTD       ,Industrials,Electrical Equipment & Parts,12365.32,Small Cap
GRASIM,GRASIM INDUSTRIES LTD    ,Basic Materials,Building Materials,190260.27,Mid Cap
GRAVITA,GRAVITA INDIA LIMITED    ,Industrials,Metal Fabrication,11908.26,Small Cap
GREAVESCOT,GREAVES COTTON LTD.      ,Industrials,Specialty Industrial Machinery,3972.79,Micro Cap
GREENLAM,GREENLAM INDUSTRIES LTD. ,Consumer Cyclical,"Furnishings, Fixtures & Appliances",6170.49,Small Cap
GREENPANEL,GREENPANEL INDUSTRIES LTD,Basic Materials,Lumber & Wood Production,2656.11,Micro Cap
GREENPLY,GREENPLY INDUSTRIES LTD  ,Basic Materials,Lumber & Wood Production,3105.34,Micro Cap
GREENPOWER,ORIENT GREEN POWER CO LTD,Utilities,Utilities - Independent Power Producers,1268.04,Micro Cap
GRINDWELL,GRINDWELL NORTON LIMITED ,Industrials,Building Products & Equipment,17602.27,Small Cap
GRINFRA,G R INFRAPROJECTS LIMITED,Industrials,Engineering & Construction,8972.12,Small Cap
GRMOVER,GRM OVERSEAS LIMITED     ,Consumer Defensive,Packaged Foods,3148.28,Micro Cap
GROBTEA,THE GROB TEA COMPANY LTD ,Consumer Defensive,Farm Products,114.26,Micro Cap
GROWW,BILLIONBRAINS GARAGE VN L,Financial Services,Capital Markets,101456.89,Mid Cap
GRPLTD,GRP LIMITED              ,Consumer Cyclical,Auto Parts,962.4,Micro Cap
GRSE,GARDEN REACH SHIP&ENG LTD,Industrials,Aerospace & Defense,27847.59,Small Cap
GRWRHITECH,GARWARE HI-TECH FILMS LTD,Basic Materials,Specialty Chemicals,6767.6,Small Cap
GSFC,GUJ STATE FERT & CHEM LTD,Basic Materials,Agricultural Inputs,6970.57,Small Cap
GSPL,GUJARAT STATE PETRO LTD  ,Utilities,Utilities - Regulated Gas,17239.48,Small Cap
GSS,GSS INFOTECH LIMITED     ,Technology,Information Technology Services,41.07,Micro Cap
GTECJAINX,G-TEC JAINX EDUCATION LTD,Consumer Defensive,Education & Training Services,22.21,Micro Cap
GTL,GTL LTD                  ,Communication Services,Telecom Services,119.23,Micro Cap
GTLINFRA,GTL INFRA.LTD            ,Technology,Communication Equipment,1473.05,Micro Cap
GTPL,GTPL HATHWAY LIMITED     ,Communication Services,Entertainment,968.42,Micro Cap
GUFICBIO,GUFIC BIOSCIENCES LTD.   ,Healthcare,Drug Manufacturers - Specialty & Generic,3159.4,Micro Cap
GUJALKALI,GUJARAT ALKALIES & CHEM  ,Basic Materials,Chemicals,3540.43,Micro Cap
GUJAPOLLO,GUJ. APOLLO IND. LTD.    ,Industrials,Specialty Industrial Machinery,497.43,Micro Cap
GUJGASLTD,GUJARAT GAS LIMITED      ,Utilities,Utilities - Regulated Gas,28533.77,Small Cap
GUJTHEM,GUJARAT THEMIS BIOSYN LTD,Healthcare,Drug Manufacturers - Specialty & Generic,4078.57,Micro Cap
GULFOILLUB,GULF OIL LUB. IND. LTD.  ,Basic Materials,Specialty Chemicals,5540.57,Small Cap
GULFPETRO,GP PETROLEUMS LIMITED    ,Energy,Oil & Gas Refining & Marketing,173.55,Micro Cap
GULPOLY,GULSHAN POLYOLS LIMITED  ,Basic Materials,Chemicals,876.49,Micro Cap
GVPIL,GE POWER INDIA LIMITED   ,Industrials,Engineering & Construction,2043.38,Micro Cap
GVPTECH,GVP INFOTECH LIMITED     ,Technology,Information Technology Services,129.96,Micro Cap
GVT&D,GE VERNOVA T&D INDIA LTD ,Industrials,Specialty Industrial Machinery,71590.61,Mid Cap
HAL,HINDUSTAN AERONAUTICS LTD,Industrials,Aerospace & Defense,298367.28,Large Cap
HAPPSTMNDS,HAPPIEST MINDS TECHNO LTD,Technology,Information Technology Services,6515.84,Small Cap
HAPPYFORGE,HAPPY FORGINGS LIMITED   ,Industrials,Metal Fabrication,10326.08,Small Cap
HARIOMPIPE,HARIOM PIPE INDUSTRIES L ,Basic Materials,Steel,1345.53,Micro Cap
HARRMALAYA,HARRISON MALAYALAM LTD   ,Consumer Defensive,Farm Products,301.43,Micro Cap
HARSHA,HARSHA ENGINEERS INT LTD ,Industrials,Tools & Accessories,3582.13,Micro Cap
HATHWAY,HATHWAY CABLE & DATACOM  ,Communication Services,Entertainment,2125.9,Micro Cap
HATSUN,HATSUN AGRO PRODUCT LTD. ,Consumer Defensive,Packaged Foods,20340.26,Small Cap
HAVELLS,HAVELLS INDIA LIMITED    ,Industrials,Electrical Equipment & Parts,90143.08,Mid Cap
HAVISHA,SRI HAVISHA HOSP & INFR L,Consumer Cyclical,Lodging,27.33,Micro Cap
HBLENGINE,HBL ENGINEERING LTD      ,Industrials,Electrical Equipment & Parts,24344.65,Small Cap
HCC,HINDUSTAN CONSTRUCTION CO,Industrials,Engineering & Construction,5267.75,Small Cap
HCG,HEALTHCARE GLOB. ENT. LTD,Healthcare,Medical Care Facilities,9180.3,Small Cap
HCL-INSYS,HCL INFOSYSTEMS LTD      ,Technology,Electronics & Computer Distribution,446.08,Micro Cap
HCLTECH,HCL TECHNOLOGIES LTD     ,Technology,Information Technology Services,452775.02,Large Cap
HDBFS,HDB FINANCIAL SERVICES L ,Financial Services,Credit Services,63400.33,Mid Cap
HDFCAMC,HDFC AMC LIMITED         ,Financial Services,Asset Management,109394.27,Mid Cap
HDFCBANK,HDFC BANK LTD            ,Financial Services,Banks - Regional,1423765.7,Large Cap
HDFCLIFE,HDFC LIFE INS CO LTD     ,Financial Services,Insurance - Life,160354.01,Mid Cap
HEADSUP,HEADS UP VENTURES LIMITED,Consumer Cyclical,Apparel Retail,19.04,Micro Cap
HECPROJECT,HEC INFRA PROJECTS LTD   ,Industrials,Engineering & Construction,116.29,Micro Cap
HEG,HEG LTD                  ,Industrials,Electrical Equipment & Parts,10903.23,Small Cap
HEIDELBERG,HEIDELBERGCEMENT (I) LTD ,Basic Materials,Building Materials,3841.32,Micro Cap
HEMIPROP,HEMISPHERE PROP IND LTD  ,Real Estate,Real Estate - Diversified,3873.72,Micro Cap
HERANBA,HERANBA INDUSTRIES LTD   ,Basic Materials,Agricultural Inputs,892.42,Micro Cap
HERITGFOOD,HERITAGE FOODS LTD       ,Consumer Defensive,Packaged Foods,4111.33,Micro Cap
HEROMOTOCO,HERO MOTOCORP LIMITED    ,Consumer Cyclical,Auto Manufacturers,113576.33,Mid Cap
HESTERBIO,HESTER BIOSCIENCES LTD   ,Healthcare,Drug Manufacturers - Specialty & Generic,1264.63,Micro Cap
HEUBACHIND,HEUBACH COLORANTS IND LTD,Basic Materials,Specialty Chemicals,1019.41,Micro Cap
HEXATRADEX,HEXA TRADEX LIMITED      ,Financial Services,Credit Services,903.31,Micro Cap
HEXT,HEXAWARE TECHNOLOGIES LTD,Technology,Information Technology Services,43550.16,Small Cap
HFCL,HFCL LIMITED             ,Technology,Communication Equipment,9858.61,Small Cap
HGINFRA,H.G.INFRA ENGINEERING LTD,Industrials,Engineering & Construction,4526.46,Micro Cap
HGM,HANDSON GBL MNGMNT LTD   ,Technology,Information Technology Services,78.24,Micro Cap
HGS,HINDUJA GLOBAL SOLS. LTD.,Industrials,Specialty Business Services,1990.37,Micro Cap
HIKAL,HIKAL LIMITED            ,Healthcare,Drug Manufacturers - Specialty & Generic,2612.87,Micro Cap
HILINFRA,HIGHWAY INFRASTRUCTURE L ,Industrials,Infrastructure Operations,392.74,Micro Cap
HILTON,HILTON METAL FORGING LTD ,Industrials,Metal Fabrication,108.95,Micro Cap
HIMATSEIDE,HIMATSINGKA SEIDE LTD    ,Consumer Cyclical,Textile Manufacturing,1297.03,Micro Cap
HINDALCO,HINDALCO  INDUSTRIES  LTD,Basic Materials,Aluminum,214688.79,Large Cap
HINDCOMPOS,HINDUSTAN COMPOSITES LTD.,Consumer Cyclical,Auto Parts,635.73,Micro Cap
HINDCON,HINDCON CHEMICALS LIMITED,Basic Materials,Specialty Chemicals,125.42,Micro Cap
HINDCOPPER,HINDUSTAN COPPER LTD     ,Basic Materials,Copper,55391.14,Mid Cap
HINDOILEXP,HINDUSTAN OIL EXPLORATION,Energy,Oil & Gas E&P,2021.72,Micro Cap
HINDPETRO,HINDUSTAN PETROLEUM CORP ,Energy,Oil & Gas Refining & Marketing,93656.11,Mid Cap
HINDUNILVR,HINDUSTAN UNILEVER LTD.  ,Consumer Defensive,Household & Personal Products,552976.3,Large Cap
HINDWAREAP,HINDWARE HME INOVATON LTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1952.72,Micro Cap
HINDZINC,HINDUSTAN ZINC LIMITED   ,Basic Materials,Other Industrial Metals & Mining,276420.37,Large Cap
HIRECT,HIND RECTIFIER LIMITED   ,Industrials,Electrical Equipment & Parts,2390.27,Micro Cap
HISARMETAL,HISAR METAL IND. LIMITED ,Basic Materials,Steel,86.99,Micro Cap
HITECH,HI-TECH PIPES LIMITED    ,Basic Materials,Steel,1730.88,Micro Cap
HITECHCORP,HITECH CORPORATION LTD   ,Consumer Cyclical,Packaging & Containers,279.62,Micro Cap
HLEGLAS,HLE GLASCOAT LIMITED     ,Industrials,Specialty Industrial Machinery,3078.58,Micro Cap
HLVLTD,HLV LIMITED              ,Consumer Cyclical,Lodging,590.04,Micro Cap
