Stock,SecurityName,Sector,Industry,MarketCapCr,MarketCapType
DENORA,DE NORA INDIA LIMITED    ,Industrials,Electrical Equipment & Parts,336.81,Micro Cap
DENTA,DENTA WATER N INFRA SOL L,Industrials,Engineering & Construction,813.15,Micro Cap
DEVIT,DEV INFO TECHNOLOGY LTD  ,Technology,Information Technology Services,189.29,Micro Cap
DEVX,DEV ACCELERATOR LIMITED  ,Real Estate,Real Estate Services,347.4,Micro Cap
DEVYANI,DEVYANI INTERNATIONAL LTD,Consumer Cyclical,Restaurants,16617.89,Small Cap
DGCONTENT,DIGICONTENT LIMITED      ,Communication Services,Internet Content & Information,186.2,Micro Cap
DHAMPURSUG,DHAMPUR SUGAR MILLS LTD. ,Consumer Defensive,Confectioners,759.14,Micro Cap
DHANBANK,DHANLAXMI BANK LIMITED   ,Financial Services,Banks - Regional,997.01,Micro Cap
DHANUKA,DHANUKA AGRITECH LTD     ,Basic Materials,Agricultural Inputs,4903.17,Micro Cap
DHARMAJ,DHARMAJ CROP GUARD LTD   ,Basic Materials,Agricultural Inputs,818.03,Micro Cap
DHRUV,DHRUV CONSULTANCY SER LTD,Industrials,Engineering & Construction,83.11,Micro Cap
DHUNINV,DHUNSERI INVESTMENTS LTD ,Financial Services,Capital Markets,692.46,Micro Cap
DIACABS,DIAMOND POWER INFRA LTD  ,Industrials,Specialty Industrial Machinery,6861.16,Small Cap
DIAMINESQ,DIAMINES & CHEMICALS LTD ,Basic Materials,Chemicals,251.2,Micro Cap
DIAMONDYD,PRATAAP SNACKS LIMITED   ,Consumer Defensive,Packaged Foods,2738.81,Micro Cap
DICIND,DIC INDIA LIMITED        ,Basic Materials,Specialty Chemicals,423.61,Micro Cap
DIFFNKG,DIFFUSION ENGINEERS LTD  ,Industrials,Specialty Industrial Machinery,1102.58,Micro Cap
DIGIDRIVE,DIGIDRIVE DISTRIBUTORS L ,Consumer Cyclical,Internet Retail,100.76,Micro Cap
DIGISPICE,DIGISPICE TECHNOLOGIES LT,Financial Services,Financial Conglomerates,524.51,Micro Cap
DIGITIDE,DIGITIDE SOLUTIONS LTD   ,Industrials,Specialty Business Services,1841.46,Micro Cap
DIGJAMLMTD,DIGJAM LTD               ,Consumer Cyclical,Textile Manufacturing,101.1,Micro Cap
DISHTV,DISH TV INDIA LTD.       ,Communication Services,Entertainment,705.2,Micro Cap
DIVGIITTS,DIVGI TORQTRANSFER SYST L,Consumer Cyclical,Auto Parts,1817.7,Micro Cap
DIVISLAB,DIVI S LABORATORIES LTD  ,Healthcare,Drug Manufacturers - Specialty & Generic,168718.56,Mid Cap
DIXON,DIXON TECHNO (INDIA) LTD ,Technology,Consumer Electronics,67379.38,Mid Cap
DJML,DJ MEDIAPRINT & LOG LTD  ,Industrials,Specialty Business Services,237.28,Micro Cap
